client_id,study_group,highest_step_reached,step_hierarchy,completed_process,total_backwards_movements,encountered_errors,calls_6_mnth,gendr,logons_6_mnth,clnt_age,bal,clnt_tenure_yr
5953338,Test,confirm,5,Yes,1.0,Yes,0.0,F,3.0,40.5,40366.52,5.0
4211489,Test,start,1,No,0.0,No,3.0,M,6.0,32.0,28293.46,7.0
1610905,Test,confirm,5,Yes,4.0,Yes,6.0,F,9.0,73.5,233820.57,19.0
252898,Test,confirm,5,Yes,1.0,Yes,2.0,U,5.0,51.5,38275.58,4.0
4998187,Test,confirm,5,Yes,1.0,Yes,6.0,M,9.0,56.5,575886.34,26.0
9966028,Test,confirm,5,Yes,1.0,Yes,1.0,U,4.0,28.5,31115.92,5.0
6013539,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,63.5,44160.84,4.0
7218952,Test,confirm,5,Yes,1.0,Yes,2.0,U,5.0,42.5,45962.57,5.0
4555837,Test,confirm,5,Yes,1.0,Yes,1.0,M,4.0,40.5,41946.7,11.0
7333942,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,33.5,86297.9,5.0
9728696,Test,step_1,2,No,2.0,Yes,0.0,M,3.0,54.0,780581.04,10.0
1519302,Test,confirm,5,Yes,1.0,Yes,6.0,M,9.0,57.5,186892.4,11.0
6182434,Test,step_2,3,No,1.0,Yes,0.0,F,3.0,24.0,137618.29,14.0
2965474,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,29.5,31690.29,7.0
8391009,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,29.5,45674.87,4.0
7296650,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,64.5,164476.43,40.0
6381407,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,28.5,58078.36,6.0
2997960,Test,confirm,5,Yes,0.0,No,4.0,F,7.0,27.5,193542.47,7.0
7191050,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,64.5,105242.48,8.0
1461624,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,44.5,184893.41,5.0
5473808,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,44.5,132689.42,23.0
4939621,Test,confirm,5,Yes,0.0,No,3.0,U,6.0,52.5,62027.13,7.0
7812180,Test,confirm,5,Yes,0.0,No,3.0,F,6.0,65.5,43060.13,15.0
3184500,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,55.5,213245.28,16.0
5126257,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,24.5,48386.15,5.0
1488410,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,60.5,268652.53,5.0
9287118,Test,confirm,5,Yes,1.0,Yes,6.0,U,9.0,24.5,39708.03,5.0
4770262,Test,confirm,5,Yes,5.0,Yes,3.0,F,6.0,51.5,85755.09,4.0
523965,Test,step_1,2,No,3.0,Yes,4.0,F,7.0,70.0,72130.43,27.0
35922,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,44.5,65375.71,4.0
1336169,Test,confirm,5,Yes,0.0,No,1.0,M,4.0,62.5,39995.13,13.0
9221282,Test,confirm,5,Yes,1.0,Yes,3.0,M,6.0,56.5,248838.71,13.0
7581565,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,64.5,167862.95,29.0
3923641,Test,confirm,5,Yes,1.0,Yes,4.0,U,7.0,32.5,3113128.68,7.0
123311,Test,confirm,5,Yes,1.0,Yes,2.0,U,5.0,41.5,159890.92,5.0
2280509,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,46.5,370354.51,6.0
8949037,Test,confirm,5,Yes,0.0,No,5.0,F,8.0,74.5,147427.8,24.0
8405623,Test,confirm,5,Yes,2.0,Yes,5.0,F,8.0,48.5,150966.38,13.0
9610827,Test,confirm,5,Yes,2.0,Yes,1.0,F,4.0,46.5,141075.5,10.0
7872965,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,34.5,31091.7,5.0
4709095,Test,confirm,5,Yes,2.0,Yes,2.0,U,5.0,63.5,222154.76,18.0
1609177,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,23.5,35572.41,4.0
6198270,Test,confirm,5,Yes,0.0,No,3.0,U,6.0,50.5,76372.99,5.0
1238954,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,35.5,193727.13,19.0
7105425,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,66.5,421317.66,7.0
6043021,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,37.5,27690.66,6.0
7082310,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,61.5,200227.17,22.0
1153442,Test,confirm,5,Yes,3.0,Yes,3.0,F,6.0,63.0,62566.34,9.0
10363,Test,step_1,2,No,0.0,No,6.0,U,9.0,26.0,81518.46,6.0
4663817,Test,step_1,2,No,1.0,Yes,6.0,U,9.0,49.0,933893.26,5.0
8784430,Test,confirm,5,Yes,4.0,Yes,2.0,F,5.0,53.5,192455.52,15.0
2647155,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,83.5,262453.09,23.0
8667569,Test,step_3,4,No,1.0,Yes,1.0,M,4.0,34.0,58689.67,13.0
1287625,Test,confirm,5,Yes,0.0,No,4.0,F,7.0,44.5,443923.02,11.0
2057700,Test,confirm,5,Yes,1.0,Yes,1.0,M,4.0,40.5,128590.31,13.0
7321698,Test,confirm,5,Yes,0.0,No,3.0,U,6.0,61.5,36685.88,6.0
7675093,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,24.5,61955.6,5.0
750874,Test,step_3,4,No,3.0,Yes,4.0,M,7.0,71.0,156002.04,15.0
1349235,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,55.5,214893.05,10.0
3987868,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,56.5,56230.31,4.0
2959614,Test,confirm,5,Yes,0.0,No,2.0,M,5.0,22.5,42647.43,22.0
1600568,Test,confirm,5,Yes,0.0,No,3.0,M,7.0,63.5,1647432.92,15.0
6085193,Test,confirm,5,Yes,3.0,Yes,3.0,M,6.0,68.5,1733593.24,13.0
638751,Test,step_1,2,No,1.0,Yes,5.0,U,8.0,25.0,49521.16,4.0
3657999,Test,confirm,5,Yes,0.0,No,2.0,M,5.0,50.5,33657.54,9.0
420983,Test,step_2,3,No,2.0,Yes,0.0,U,3.0,43.0,174500.73,4.0
6361221,Test,step_3,4,No,1.0,Yes,2.0,F,5.0,69.0,127643.5,35.0
7190256,Test,step_2,3,No,1.0,Yes,6.0,F,9.0,31.0,53434.93,8.0
1208160,Test,confirm,5,Yes,0.0,No,0.0,M,3.0,29.5,25779.36,9.0
4794611,Test,confirm,5,Yes,1.0,Yes,6.0,F,9.0,57.5,252052.0,16.0
2748753,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,43.5,220758.48,20.0
6971271,Test,step_3,4,No,3.0,Yes,0.0,U,3.0,59.0,66982.54,6.0
1308328,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,65.5,137880.02,47.0
940098,Test,confirm,5,Yes,1.0,Yes,6.0,F,9.0,59.5,157763.89,34.0
2440734,Test,step_1,2,No,1.0,Yes,1.0,U,4.0,48.0,40262.88,6.0
4803341,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,57.5,40452.98,8.0
7530822,Test,confirm,5,Yes,0.0,No,5.0,F,8.0,55.5,55888.26,16.0
7305468,Test,confirm,5,Yes,3.0,Yes,5.0,M,8.0,52.5,71398.52,18.0
410298,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,35.5,35963.75,14.0
9725718,Test,confirm,5,Yes,0.0,No,1.0,M,4.0,38.5,56733.11,15.0
4221156,Test,step_2,3,No,3.0,Yes,0.0,M,3.0,61.0,61272.38,15.0
6093785,Test,confirm,5,Yes,3.0,Yes,4.0,M,7.0,62.0,37253.2,21.0
639127,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,71.5,82991.2,34.0
9129855,Test,confirm,5,Yes,1.0,Yes,6.0,M,9.0,82.5,236464.02,18.0
8374042,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,72.5,2187071.45,14.0
9023221,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,68.5,373789.67,5.0
2398138,Test,confirm,5,Yes,1.0,Yes,1.0,M,4.0,49.5,29531.46,8.0
5065361,Test,step_3,4,No,3.0,Yes,3.0,M,6.0,42.0,131248.81,12.0
6224458,Test,step_1,2,No,1.0,Yes,0.0,M,3.0,46.0,92353.29,15.0
9077799,Test,confirm,5,Yes,6.0,Yes,5.0,U,8.0,60.5,81564.51,5.0
666370,Test,confirm,5,Yes,0.0,No,3.0,M,6.0,62.5,396210.62,10.0
5468075,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,22.5,78776.84,26.0
3981655,Test,confirm,5,Yes,0.0,No,0.0,F,3.0,49.5,26997.92,14.0
6651029,Test,confirm,5,Yes,0.0,No,4.0,M,7.0,47.5,409450.13,10.0
5426762,Test,confirm,5,Yes,3.0,Yes,1.0,U,4.0,61.5,39881.07,5.0
1727327,Test,step_1,2,No,1.0,Yes,6.0,M,9.0,36.0,29599.09,7.0
1515355,Test,step_2,3,No,1.0,Yes,2.0,U,5.0,53.0,71526.84,6.0
7230446,Test,step_3,4,No,9.0,Yes,2.0,M,5.0,62.0,58778.11,6.0
7155672,Test,confirm,5,Yes,0.0,No,1.0,F,4.0,63.5,54932.77,14.0
7994112,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,32.5,299616.14,18.0
1135385,Test,step_2,3,No,4.0,Yes,0.0,U,3.0,46.0,43478.08,18.0
3050718,Test,confirm,5,Yes,0.0,No,5.0,F,8.0,52.0,136892.72,5.0
215411,Test,confirm,5,Yes,1.0,Yes,5.0,M,8.0,55.5,567388.19,22.0
2202711,Test,confirm,5,Yes,1.0,Yes,5.0,M,8.0,77.5,205177.75,14.0
7383842,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,37.5,528438.99,21.0
6524192,Test,step_1,2,No,2.0,Yes,6.0,M,9.0,30.0,49612.68,11.0
6848266,Test,confirm,5,Yes,3.0,Yes,6.0,M,9.0,41.5,97128.33,21.0
9191957,Test,confirm,5,Yes,3.0,Yes,0.0,F,3.0,51.5,80330.24,10.0
2579694,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,44.5,30826.63,5.0
4612903,Test,start,1,No,0.0,No,0.0,F,3.0,32.0,30398.52,27.0
8569541,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,47.5,80622.53,7.0
6010355,Test,confirm,5,Yes,1.0,Yes,6.0,U,9.0,49.5,40947.56,4.0
3112331,Test,step_2,3,No,3.0,Yes,4.0,U,7.0,57.0,129742.75,5.0
6867407,Test,confirm,5,Yes,0.0,No,3.0,F,6.0,39.5,78375.58,15.0
6180998,Test,step_1,2,No,1.0,Yes,0.0,U,3.0,90.0,157627.31,9.0
5075723,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,25.5,55699.01,6.0
5060980,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,78.5,890344.11,27.0
8501949,Test,start,1,No,0.0,No,5.0,U,8.0,27.0,76834.13,7.0
3574160,Test,confirm,5,Yes,2.0,Yes,6.0,U,9.0,41.5,42121.71,6.0
3083196,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,56.5,76658.92,6.0
1644880,Test,step_3,4,No,2.0,Yes,0.0,F,3.0,56.0,26010.97,28.0
4097570,Test,confirm,5,Yes,6.0,Yes,4.0,F,7.0,64.5,185303.72,14.0
7144585,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,26.5,51548.35,5.0
1555813,Test,confirm,5,Yes,2.0,Yes,2.0,U,5.0,51.5,66184.94,7.0
3466024,Test,confirm,5,Yes,1.0,Yes,0.0,M,3.0,33.5,27350.06,8.0
7872046,Test,confirm,5,Yes,1.0,Yes,2.0,F,5.0,64.5,34144.06,23.0
7678969,Test,confirm,5,Yes,1.0,Yes,4.0,F,7.0,68.5,274264.61,7.0
5295619,Test,confirm,5,Yes,2.0,Yes,2.0,F,5.0,67.5,75713.38,14.0
8588400,Test,confirm,5,Yes,0.0,No,3.0,F,6.0,75.5,370399.11,11.0
4259953,Test,confirm,5,Yes,2.0,Yes,6.0,M,9.0,32.5,186941.44,15.0
1511490,Test,confirm,5,Yes,1.0,Yes,4.0,M,7.0,39.5,81033.53,11.0
7268896,Test,confirm,5,Yes,0.0,No,1.0,F,4.0,67.5,100096.96,20.0
3034927,Test,confirm,5,Yes,0.0,No,1.0,F,4.0,36.5,27696.71,8.0
4626515,Test,confirm,5,Yes,0.0,No,3.0,F,6.0,64.5,32352.05,19.0
9977651,Test,step_2,3,No,1.0,Yes,6.0,M,9.0,51.0,105844.61,16.0
501190,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,53.5,369518.45,7.0
6968063,Test,confirm,5,Yes,0.0,No,4.0,F,7.0,35.5,103195.24,10.0
9886162,Test,confirm,5,Yes,0.0,No,1.0,F,5.0,76.5,152566.26,28.0
2525972,Test,confirm,5,Yes,0.0,No,3.0,F,6.0,60.5,1096420.24,27.0
8716126,Test,confirm,5,Yes,0.0,No,1.0,M,4.0,31.5,106293.72,14.0
4107185,Test,confirm,5,Yes,2.0,Yes,6.0,M,9.0,43.5,158186.51,22.0
4695473,Test,confirm,5,Yes,3.0,Yes,6.0,F,9.0,55.0,45949.82,15.0
6047643,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,63.5,301487.03,22.0
3250123,Test,confirm,5,Yes,2.0,Yes,6.0,F,9.0,66.5,100964.02,15.0
7566747,Test,step_3,4,No,4.0,Yes,1.0,U,4.0,51.0,37736.61,6.0
5720556,Test,step_2,3,No,2.0,Yes,6.0,F,9.0,84.0,44828.74,21.0
5599461,Test,step_3,4,No,5.0,Yes,6.0,U,9.0,53.0,62461.14,6.0
7784030,Test,confirm,5,Yes,2.0,Yes,4.0,M,7.0,27.5,43839.37,11.0
2095509,Test,confirm,5,Yes,1.0,Yes,2.0,U,5.0,45.5,67501.83,8.0
3870847,Test,confirm,5,Yes,1.0,Yes,2.0,M,5.0,64.0,601224.4,9.0
4622079,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,31.5,24907.07,17.0
5079554,Test,confirm,5,Yes,2.0,Yes,4.0,F,7.0,69.5,621112.93,28.0
5100840,Test,confirm,5,Yes,1.0,Yes,6.0,M,9.0,27.5,74643.6,15.0
2863254,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,63.5,255515.48,12.0
8514966,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,55.5,372588.35,28.0
3335182,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,56.5,57017.56,6.0
6483165,Test,step_3,4,No,5.0,Yes,4.0,U,7.0,68.0,44400.08,4.0
113964,Test,start,1,No,0.0,No,6.0,M,9.0,53.0,50369.36,12.0
9315987,Test,confirm,5,Yes,1.0,Yes,0.0,U,4.0,29.5,44476.89,6.0
4675494,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,56.5,231198.06,21.0
2861194,Test,step_1,2,No,2.0,Yes,6.0,F,9.0,46.0,109079.02,9.0
6992663,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,60.5,85920.04,20.0
7760916,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,40.5,78452.59,7.0
5308745,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,41.5,190499.75,14.0
6939528,Test,confirm,5,Yes,1.0,Yes,6.0,U,9.0,25.5,26046.57,6.0
3521842,Test,start,1,No,0.0,No,6.0,M,9.0,32.0,84651.19,8.0
7376595,Test,start,1,No,0.0,No,5.0,M,8.0,38.0,184483.85,12.0
1088644,Test,step_2,3,No,0.0,No,6.0,M,9.0,28.0,135725.33,15.0
7537056,Test,confirm,5,Yes,2.0,Yes,6.0,M,9.0,32.5,78415.36,27.0
2009732,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,35.5,61663.64,6.0
4669037,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,31.5,25112.54,5.0
805889,Test,confirm,5,Yes,2.0,Yes,6.0,M,9.0,66.5,185867.84,6.0
8047851,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,31.5,210588.85,7.0
3669739,Test,confirm,5,Yes,5.0,Yes,3.0,M,6.0,58.5,412460.18,23.0
1809309,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,55.5,639206.73,23.0
7908614,Test,step_1,2,No,0.0,No,4.0,F,7.0,59.0,72034.44,20.0
4411825,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,28.5,26844.21,6.0
1479365,Test,confirm,5,Yes,2.0,Yes,2.0,M,5.0,53.5,62048.71,17.0
8497468,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,25.5,44746.11,4.0
7761040,Test,step_1,2,No,0.0,No,3.0,U,6.0,69.0,231381.19,6.0
2931649,Test,step_1,2,No,1.0,Yes,2.0,F,5.0,40.0,109968.36,10.0
1264481,Test,confirm,5,Yes,2.0,Yes,6.0,U,9.0,53.5,552990.86,7.0
6986418,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,32.5,60276.61,5.0
6693627,Test,confirm,5,Yes,0.0,No,1.0,F,4.0,56.5,261795.51,22.0
3681183,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,29.5,25955.35,8.0
5080126,Test,step_1,2,No,0.0,No,6.0,U,9.0,54.0,44799.62,8.0
2167421,Test,confirm,5,Yes,4.0,Yes,0.0,M,3.0,33.5,96266.36,14.0
2203412,Test,start,1,No,0.0,No,6.0,F,9.0,29.0,115836.0,13.0
915300,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,30.5,36694.69,5.0
5927735,Test,confirm,5,Yes,0.0,No,3.0,F,6.0,52.5,48414.76,15.0
2710557,Test,confirm,5,Yes,5.0,Yes,2.0,F,5.0,27.0,45601.28,10.0
7931364,Test,step_3,4,No,1.0,Yes,3.0,U,6.0,59.0,272726.81,7.0
3705680,Test,step_1,2,No,0.0,No,3.0,M,6.0,70.0,95504.81,9.0
9985932,Test,confirm,5,Yes,0.0,No,3.0,M,6.0,51.5,435686.46,21.0
8544434,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,38.5,59436.93,7.0
8754470,Test,confirm,5,Yes,0.0,No,1.0,F,4.0,54.5,101046.87,25.0
5970677,Test,confirm,5,Yes,0.0,No,1.0,M,4.0,43.5,36813.24,10.0
4856097,Test,start,1,No,0.0,No,1.0,U,4.0,50.0,40126.76,7.0
1814949,Test,confirm,5,Yes,1.0,Yes,0.0,F,3.0,46.5,29672.99,9.0
6335357,Test,confirm,5,Yes,0.0,No,1.0,U,4.0,21.5,27924.93,5.0
6743658,Test,confirm,5,Yes,0.0,No,0.0,F,3.0,33.5,89641.87,11.0
2991897,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,59.5,62655.62,5.0
2644266,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,66.5,132603.19,5.0
3839207,Test,confirm,5,Yes,0.0,No,0.0,M,4.0,45.5,86477.32,12.0
7895367,Test,confirm,5,Yes,1.0,Yes,5.0,U,8.0,65.5,73785.58,21.0
9980327,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,50.5,76879.81,6.0
486844,Test,confirm,5,Yes,6.0,Yes,2.0,M,5.0,42.5,87079.73,14.0
594677,Test,confirm,5,Yes,1.0,Yes,0.0,U,3.0,48.5,293388.54,7.0
8103911,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,34.5,286065.83,18.0
4667938,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,63.5,728324.72,15.0
5036766,Test,confirm,5,Yes,1.0,Yes,5.0,U,8.0,32.5,46399.36,6.0
4783560,Test,confirm,5,Yes,1.0,Yes,2.0,U,5.0,40.5,49065.41,8.0
6850642,Test,confirm,5,Yes,0.0,No,3.0,U,6.0,27.5,58566.08,7.0
9330579,Test,confirm,5,Yes,0.0,No,5.0,M,8.0,55.5,652254.0,32.0
7141663,Test,confirm,5,Yes,0.0,No,3.0,U,6.0,27.5,55064.61,5.0
8206815,Test,step_3,4,No,8.0,Yes,6.0,M,9.0,55.0,73258.26,15.0
3533056,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,46.5,132598.75,5.0
8223055,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,58.5,52908.48,14.0
9882366,Test,step_3,4,No,1.0,Yes,1.0,U,4.0,47.0,240648.23,5.0
1664458,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,24.5,45075.48,4.0
1367125,Test,step_1,2,No,1.0,Yes,1.0,F,4.0,60.0,88504.96,29.0
4932323,Test,confirm,5,Yes,1.0,Yes,6.0,M,9.0,40.5,148217.98,16.0
1574972,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,64.5,41523.27,5.0
1711241,Test,confirm,5,Yes,0.0,No,1.0,M,7.0,43.5,252499.79,10.0
7273179,Test,confirm,5,Yes,0.0,No,5.0,F,8.0,35.5,100767.78,5.0
45232,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,63.5,33799.5,4.0
8491121,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,27.5,26258.77,8.0
5703905,Test,confirm,5,Yes,0.0,No,3.0,U,6.0,44.0,60157.39,5.0
1389096,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,41.5,64147.25,11.0
6429753,Test,confirm,5,Yes,0.0,No,3.0,M,6.0,63.5,74492.35,9.0
931254,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,63.5,95997.51,12.0
9779291,Test,step_1,2,No,1.0,Yes,2.0,F,5.0,60.0,113644.88,9.0
5929749,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,32.5,142841.09,3.0
7434986,Test,confirm,5,Yes,1.0,Yes,6.0,U,9.0,35.5,116445.61,3.0
6863917,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,28.5,68590.59,4.0
4027294,Test,confirm,5,Yes,1.0,Yes,2.0,F,5.0,30.5,45230.23,12.0
9599818,Test,confirm,5,Yes,0.0,No,5.0,F,8.0,41.5,118265.21,19.0
7882402,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,77.5,178311.47,32.0
1504536,Test,confirm,5,Yes,1.0,Yes,6.0,F,9.0,48.5,119373.79,19.0
8997426,Test,confirm,5,Yes,1.0,Yes,1.0,F,4.0,43.0,83228.66,14.0
5258421,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,26.5,30728.0,7.0
245312,Test,step_3,4,No,4.0,Yes,0.0,F,3.0,92.0,84193.35,25.0
1354458,Test,confirm,5,Yes,1.0,Yes,0.0,M,3.0,38.5,31604.87,13.0
41924,Test,step_2,3,No,1.0,Yes,6.0,M,9.0,52.0,46360.88,21.0
467409,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,46.5,29316.15,7.0
5732457,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,65.5,64565.52,6.0
1331131,Test,confirm,5,Yes,5.0,Yes,6.0,M,9.0,42.5,33342.57,15.0
6928012,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,29.5,78671.14,11.0
4134354,Test,start,1,No,0.0,No,2.0,M,5.0,64.0,77178.25,15.0
3893174,Test,step_1,2,No,1.0,Yes,6.0,M,9.0,85.0,54644.91,13.0
1519690,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,25.5,129778.73,5.0
1497269,Test,confirm,5,Yes,3.0,Yes,3.0,M,6.0,76.5,180848.67,28.0
21200,Test,step_3,4,No,1.0,Yes,6.0,U,9.0,61.0,244443.18,5.0
4249545,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,20.5,28091.37,6.0
5157019,Test,confirm,5,Yes,1.0,Yes,6.0,F,9.0,57.0,573434.26,22.0
9228974,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,36.5,51243.64,4.0
1259407,Test,confirm,5,Yes,2.0,Yes,6.0,M,9.0,61.5,160205.42,16.0
413324,Test,start,1,No,0.0,No,5.0,M,8.0,30.0,47725.42,23.0
3677926,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,62.5,605966.16,17.0
8646319,Test,step_3,4,No,4.0,Yes,4.0,F,7.0,53.0,128786.68,9.0
2241125,Test,step_1,2,No,0.0,No,1.0,U,4.0,30.0,84631.21,7.0
4533293,Test,confirm,5,Yes,1.0,Yes,4.0,U,7.0,53.5,39890.65,4.0
9110997,Test,step_3,4,No,0.0,No,3.0,F,6.0,58.0,162275.73,14.0
258243,Test,start,1,No,0.0,No,6.0,U,9.0,19.0,36481.05,6.0
3573345,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,29.5,60414.7,10.0
7982935,Test,step_2,3,No,4.0,Yes,4.0,U,7.0,53.0,45818.04,4.0
8081536,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,64.5,102990.97,17.0
9818508,Test,confirm,5,Yes,1.0,Yes,0.0,U,3.0,20.5,48799.42,6.0
3954242,Test,confirm,5,Yes,0.0,No,0.0,F,3.0,46.5,67027.52,21.0
9397699,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,36.0,194082.8,6.0
3782368,Test,confirm,5,Yes,1.0,Yes,1.0,M,4.0,63.5,123685.1,20.0
1264732,Test,confirm,5,Yes,3.0,Yes,1.0,F,4.0,52.5,743750.57,27.0
3167355,Test,confirm,5,Yes,0.0,No,0.0,U,3.0,66.5,60424.47,7.0
473920,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,69.5,78615.69,5.0
1182043,Test,confirm,5,Yes,0.0,No,2.0,F,5.0,44.5,54594.49,11.0
229490,Test,confirm,5,Yes,0.0,No,2.0,U,5.0,59.5,215323.41,6.0
800754,Test,start,1,No,0.0,No,4.0,M,7.0,34.0,131807.62,9.0
